track_name,artists_name,in_spotify_playlists,in_apple_playlists,in_deezer_playlists
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,685,24,9
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2460,53,56
Maan Meri Jaan,King,288,11,1
Moscow Mule,Bad Bunny,4572,74,85
My Universe,"Coldplay, BTS",6127,0,0
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,166,2,0
LLYLM,ROSALï¿½,1838,105,114
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",1890,86,49
TRUSTFALL,P!nk,2098,88,101
ANTIFRAGILE,LE SSERAFIM,761,23,11
Boy's a liar,PinkPantheress,1225,27,28
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",415,15,21
Shirt,SZA,3469,71,31
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,3311,129,212
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2616,113,208
"Sex, Drugs, Etc.",Beach Weather,3006,47,87
Boy With Luv (feat. Halsey),"Halsey, BTS",4260,113,259
"Hey, Mickey!",Baby Tate,482,9,12
Calm Down,Rï¿½ï,4013,107,750
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",138,13,2
Escapism. - Sped Up,"RAYE, 070 Shake",1368,12,11
Space Song,Beach House,17852,69,335
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",889,11,35
Te Felicito,"Shakira, Rauw Alejandro",4796,124,212
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",658,33,53
TV,Billie Eilish,3009,68,65
I'm Not The Only One,Sam Smith,17492,136,"1,959"
Heather,Conan Gray,6170,82,231
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",130,21,2
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",27705,537,"2,726"
Sugar Rush Ride,TOMORROW X TOGETHER,359,12,13
Pink Venom,BLACKPINK,1963,57,77
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",5491,128,75
Don't Start Now,Dua Lipa,27119,532,"1,535"
After Dark,Mr.Kitty,1776,1,3
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",1473,27,66
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",13315,300,690
MIDDLE OF THE NIGHT,Elley Duhï¿,4057,78,240
Atlantis,Seafret,3045,43,134
PUNTO 40,"Baby Rasta, Rauw Alejandro",3006,54,66
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",852,14,50
How Do I Say Goodbye,Dean Lewis,2163,72,58
Blind,SZA,1484,22,12
Die For You,Joji,1703,38,36
Doja,Central Cee,4169,57,183
Gatita,Bellakath,1054,9,15
Rumble,"Skrillex, Flowdan, Fred again..",2849,39,27
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",1602,12,12
Yonaguni,Bad Bunny,9644,120,164
Super Freaky Girl,Nicki Minaj,4827,104,76
Running Up That Hill (A Deal With God),Kate Bush,21811,117,676
Dream On,Aerosmith,168,0,5
Limbo,Freddie Dredd,688,14,17
Where Are You Now,"Lost Frequencies, Calum Scott",10565,238,557
WORTH NOTHING,"Twisted, Oliver Tree",1612,34,34
Bad Habits,Ed Sheeran,12755,344,945
KICK BACK,Kenshi Yonezu,574,38,26
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,2499,70,49
Good Days,SZA,10426,133,182
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",15894,198,544
Woman,Doja Cat,9424,202,463
Shut up My Moms Calling - (Sped Up),Hotel Ugly,713,2,6
Ferrari,"James Hype, Miggy Dela Rosa",7758,173,175
"You're On Your Own, Kid",Taylor Swift,2537,8,20
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",292,26,4
Agudo Mï¿½ï¿½gi,"Styrx, utku INC, Thezth",323,4,14
Payphone,"Maroon 5, Wiz Khalifa",14143,56,"1,891"
All I Want for Christmas Is You,Mariah Carey,25653,387,"2,094"
Last Christmas,Wham!,22153,274,"1,302"
Rockin' Around The Christmas Tree,Brenda Lee,14994,191,206
Jingle Bell Rock,Bobby Helms,10326,165,104
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,12353,35,549
Santa Tell Me,Ariana Grande,9408,231,439
It's the Most Wonderful Time of the Year,Andy Williams,8879,182,160
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,6512,88,277
Snowman,Sia,5140,85,500
Underneath the Tree,Kelly Clarkson,6596,144,251
Feliz Navidad,Josï¿½ï¿½ Felic,3788,21,10
Holly Jolly Christmas,Michael Bublï¿,7655,5,291
Mistletoe,Justin Bieber,9577,195,310
Sleigh Ride,The Ronettes,10114,114,262
Seek & Destroy,SZA,1007,5,1
Love Language,SZA,1127,16,8
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",10829,130,390
Used (feat. Don Toliver),"SZA, Don Toliver",1042,7,3
